candidate,tran_ct,tran_amt1,election_year
Aaron Clay,208,68175,2020
Austin Dannhaus,116,36230,2020
Barbara Parker,168,75449,2020
"Ben ""Coach"" Tapscott",51,12466,2020
"Benjamin ""Sam"" Davis",311,60461,2020
Carroll Fife,901,195101,2020
Cherisse Gash,19,3945,2020
Clifford Thompson,67,17230,2020
Dan Kalb,593,154112,2020
Derreck B. Johnson,836,255565,2020
Eli Ferran,366,121560,2020
Faye Taylor,4,2250,2020
Jorge C. Lerma,70,13290,2020
Leroy Gaines,168,43806,2020
Lynette Gibson McElhaney,462,190623,2020
Maiya Edgerly,26,9659,2020
Marchon Tatmon,29,15650,2020
Marcie Hodge,32,14850,2020
Mark Hurty,47,18406,2020
Mike Hutchinson,98,23640,2020
Noel Gallo,137,81551,2020
Rebecca Kaplan,537,236501,2020
Richard Santos Raya,116,24001,2020
"Robert ""Bob"" Jackson",513,161298,2020
Sheila Pope Lawrence,46,17172,2020
Stacy Thomas,1,100,2020
Steph Dominguez Walton,640,165960,2020
Treva Reid,449,130704,2020
Tri Ngo,3,18403,2020
VanCedric Williams,130,31530,2020
Zoe Lopez-Meraz,35,6742,2020
Allyssa Victory Villanueva,72,10719,2022
Derreck Johnson,107,43125,2022
"Gregory Hodge
",136,36110,2022
Janani Ramachandran,1,100,2022
Loren Taylor,486,176253,2022
Nick Resnick,101,30515,2022
Nikki Fortunato Bas,283,95289,2022
Paulina Gonzalez,92,17360,2022
Sheng Thao,320,123615,2022
Treva Reid,247,106254,2022
