Local Agency ID,Filer Name,SOS ID,Is Terminated?,Type,election_year,candidate,contest,citywide,incumbent,start,end,is_winner,ballot_status
COAK-155443,Committee to Elect Allyssa Victory for Oakland Mayor 2022,1439739,No,Candidate or Officeholder,2022,Allyssa Victory Villanueva,Mayor,Citywide,FALSE,,,,
COAK-155191,Aaron Clay for Oakland City Council 2020,1428941,Yes,Candidate or Officeholder,2020,Aaron Clay,City Council District 7,District,FALSE,,,FALSE,Qualified
COAK-155537,Committee to Elect John Mimosa Marks for Oakland Mayor 2022,1446906,No,Candidate or Officeholder,2022,John Marks,Mayor,Citywide,FALSE,,,,
COAK-155656,Committee to Support Pecolia Manigo for Oakland School Director 2022,1448946,No,Candidate or Officeholder,2022,Pecolia Manigo,OUSD District 4,District,FALSE,,,,
COAK-155556,De La Fuente for Mayor 2022,1446236,No,Candidate or Officeholder,2022,"Ignacio De La Fuente
",Mayor,Citywide,FALSE,,,,
COAK-155192,Austin Dannhaus for Oakland School Board 2020,1427828,Yes,Candidate or Officeholder,2020,Austin Dannhaus,OUSD District 1,District,FALSE,,,FALSE,Qualified
COAK-155541,Elbert Owens for Mayor 2022,1448962,No,Candidate or Officeholder,2022,Elbert Owens,Mayor,Citywide,FALSE,,,,
COAK-155181,Re-Elect City Attorney Barbara Parker 2020,1427469,No,Candidate or Officeholder,2020,Barbara Parker,City Attorney,Citywide,TRUE,,,TRUE,Qualified
COAK-155458,Hodge for Oakland Mayor 2022,1442227,No,Candidate or Officeholder,2022,"Gregory Hodge
",Mayor,Citywide,FALSE,,,,
COAK-155180,"Ben ""Coach"" Tapscott for Oakland School Board 2020",1430904,Yes,Candidate or Officeholder,2020,"Ben ""Coach"" Tapscott",OUSD District 7,District,FALSE,,,FALSE,Qualified
COAK-155501,Janani Ramachandran for Oakland City Council District 4 2022,1442792,No,Candidate or Officeholder,2022,Janani Ramachandran,City Council District 4,District,FALSE,,,,
COAK-154862,Davis for Oakland School Board 2020,1419930,Yes,Candidate or Officeholder,2020,"Benjamin ""Sam"" Davis",OUSD District 1,District,FALSE,,,TRUE,Qualified
COAK-155491,Johnson Oakland Mayor 2022,1441869,No,Candidate or Officeholder,2022,Derreck Johnson,Mayor,Citywide,FALSE,,,,
COAK-155193,Committee to Support Bronche Taylor for OUSD School Board 2020,1428595,Yes,Candidate or Officeholder,2020,Bronché Taylor,OUSD District 7,District,FALSE,,,FALSE,Qualified
COAK-155178,Carroll Fife for City Council 2020 Officeholder,1427585,No,Candidate or Officeholder,2020,Carroll Fife,City Council District 3,District,FALSE,,2/5/2021 0:00,TRUE,Qualified
COAK-155523,Kevin Jenkins for Oakland City Council 2022,1443971,No,Candidate or Officeholder,2022,Kevin Jenkins,City Council District 6,District,FALSE,,,,
COAK-154972,CHERISSE GASH FOR OAKLAND SCHOOL BOARD DISTRICT 3 2020,1428671,No,Candidate or Officeholder,2020,Cherisse Gash,OUSD District 3,District,FALSE,,,FALSE,Qualified
COAK-155642,Kyra Mungia for Oakland Unified School Board 2022,1448165,No,Candidate or Officeholder,2022,Kyra Mungia,OUSD District 6,District,FALSE,,,,
COAK-154879,CLIFFORD THOMPSON OAKLAND UNIFIED SCHOOL DISTRICT BOARD 2020,1427679,Yes,Candidate or Officeholder,2020,Clifford Thompson,OUSD District 7,District,FALSE,,,TRUE,Qualified
COAK-155485,Loren Taylor for Oakland Mayor 2022,1441375,No,Candidate or Officeholder,2022,Loren Taylor,Mayor,Citywide,FALSE,,,,
COAK-154882,Re-Elect Dan Kalb Oakand City Council 2020,1420085,Yes,Candidate or Officeholder,2020,Dan Kalb,City Council District 1,District,TRUE,,,FALSE,Qualified
COAK-155548,Nick Resnick for Oakland School Board 2022 District 4,1446325,No,Candidate or Officeholder,2022,Nick Resnick,OUSD District 4,District,FALSE,,,,
COAK-155160,Derreck Johnson for Oakland City Council 2020,1426780,No,Candidate or Officeholder,2020,Derreck B. Johnson,City Council At-Large,Citywide,FALSE,,,FALSE,Qualified
COAK-154920,Re-Elect Nikki F Bas for City Council 2022,1423821,No,Candidate or Officeholder,2022,Nikki Fortunato Bas,City Council District 2,District,TRUE,,,,
COAK-155516,Seneca Scott for Oakland Mayor 2022,1444317,No,Candidate or Officeholder,2022,"Seneca Scott
",Mayor,Citywide,FALSE,,,,
COAK-155502,Sheng Thao for Oakland Mayor 2022,1442594,No,Candidate or Officeholder,2022,Sheng Thao,Mayor,Citywide,FALSE,,,,
COAK-155496,Support Paulina Gonzalez for Oakland City Council District 6,1442804,No,Candidate or Officeholder,2022,Paulina Gonzalez,City Council District 6,District,FALSE,,,,
COAK-155175,Elias Ferran for City Attorney 2020,1426949,Yes,Candidate or Officeholder,2020,Eli Ferran,City Attorney,Citywide,FALSE,,,FALSE,Qualified
COAK-154941,Faye Taylor Oakland City Council District #3 (2020),1427385,Yes,Candidate or Officeholder,2020,Faye Taylor,City Council District 3,District,FALSE,,,FALSE,Qualified
COAK-154768,Bob Jackson for Oakland City Council 2020,1421001,Yes,Candidate or Officeholder,2020,"Robert ""Bob"" Jackson",City Council District 7,District,FALSE,,,FALSE,Qualified
COAK-155153,Jorge Lerma for Oakland School Board 2020,1427022,No,Candidate or Officeholder,2020,Jorge C. Lerma,OUSD District 5,District,FALSE,,,FALSE,Qualified
