Filer Name,Is Terminated?,SOS ID,Type,Local Agency ID,election_year,candidate,contest,citywide,incumbent,start,end,is_winner,ballot_status
Aaron Clay for Oakland City Council 2020,Yes,1428941,Candidate or Officeholder,COAK-155191,2020,Aaron Clay,City Council District 7,District,FALSE,1/1/2020,,FALSE,Qualified
Committee to Elect Allyssa Victory for Oakland Mayor 2022,No,1439739,Candidate or Officeholder,COAK-155443,2022,Allyssa Victory Villanueva,Mayor,Citywide,FALSE,7/23/2021,,,
Austin Dannhaus for Oakland School Board 2020,Yes,1427828,Candidate or Officeholder,COAK-155192,2020,Austin Dannhaus,OUSD District 1,School District,FALSE,1/1/2020,,FALSE,Qualified
Re-Elect City Attorney Barbara Parker 2020,No,1427469,Candidate or Officeholder,COAK-155181,2020,Barbara Parker,City Attorney,Citywide,TRUE,6/26/2020,,TRUE,Qualified
"Ben ""Coach"" Tapscott for Oakland School Board 2020",Yes,1430904,Candidate or Officeholder,COAK-155180,2020,"Ben ""Coach"" Tapscott",OUSD District 7,School District,FALSE,1/1/2020,,FALSE,Qualified
Davis for Oakland School Board 2020,Yes,1419930,Candidate or Officeholder,COAK-154862,2020,"Benjamin ""Sam"" Davis",OUSD District 1,School District,FALSE,1/1/2019,,TRUE,Qualified
Committee to Support Bronche Taylor for OUSD School Board 2020,Yes,1428595,Candidate or Officeholder,COAK-155193,2020,Bronché Taylor,OUSD District 7,School District,FALSE,1/1/2020,,FALSE,Qualified
Carroll Fife for City Council 2020 Officeholder,No,1427585,Candidate or Officeholder,COAK-155178,2020,Carroll Fife,City Council District 3,District,FALSE,7/1/2020,,TRUE,Qualified
CHERISSE GASH FOR OAKLAND SCHOOL BOARD DISTRICT 3 2020,No,1428671,Candidate or Officeholder,COAK-154972,2020,Cherisse Gash,OUSD District 3,School District,FALSE,1/1/2020,,FALSE,Qualified
CLIFFORD THOMPSON OAKLAND UNIFIED SCHOOL DISTRICT BOARD 2020,Yes,1427679,Candidate or Officeholder,COAK-154879,2020,Clifford Thompson,OUSD District 7,School District,FALSE,6/3/2020,,TRUE,Qualified
Re-Elect Dan Kalb Oakand City Council 2020,Yes,1420085,Candidate or Officeholder,COAK-154882,2020,Dan Kalb,City Council District 1,District,TRUE,1/1/2019,,FALSE,Qualified
Derreck Johnson for Oakland City Council 2020,No,1426780,Candidate or Officeholder,COAK-155160,2020,Derreck B. Johnson,City Council At-Large,Citywide,FALSE,5/26/2020,,FALSE,Qualified
Johnson Oakland Mayor 2022,No,1441869,Candidate or Officeholder,COAK-155491,2022,Derreck Johnson,Mayor,Citywide,FALSE,11/23/2021,,,
